N,t
50000000,0.474741
50000000,0.463670
50000000,0.493201
100000000,0.995366
100000000,0.973163
100000000,0.965155
150000000,1.476128
150000000,1.494167
150000000,1.535261
200000000,1.990362
200000000,2.026678
200000000,2.022978
250000000,2.699583
250000000,2.632337
250000000,2.775966
300000000,3.570754
300000000,3.487444
300000000,3.447477
350000000,4.331409
350000000,4.303013
350000000,4.246476
400000000,4.864164
400000000,4.785613
400000000,4.943342
450000000,5.422859
450000000,5.455489
450000000,5.430904
500000000,5.979253
500000000,5.942906
500000000,6.081537
