D,S,T,t
0,1,1,84.045718
0,1,1,83.921876
0,1,1,83.893997
0,1,2,44.629268
0,1,2,44.412437
0,1,2,44.881592
0,1,4,22.944060
0,1,4,22.923204
0,1,4,24.064483
0,1,8,12.258995
0,1,8,13.230020
0,1,8,13.121209
0,1,16,7.208705
0,1,16,7.285662
0,1,16,7.753138
0,1,32,6.282950
0,1,32,6.173108
0,1,32,6.031473
0,2,1,85.049705
0,2,1,83.905347
0,2,1,83.926470
0,2,2,44.928682
0,2,2,44.641651
0,2,2,44.753292
0,2,4,22.863452
0,2,4,23.074124
0,2,4,24.283591
0,2,8,12.547027
0,2,8,12.076391
0,2,8,12.696875
0,2,16,7.224208
0,2,16,7.309192
0,2,16,7.036868
0,2,32,6.170324
0,2,32,5.808201
0,2,32,5.805591
0,3,1,83.807886
0,3,1,84.693210
0,3,1,84.533193
0,3,2,45.313374
0,3,2,44.728391
0,3,2,44.920594
0,3,4,22.921439
0,3,4,23.892608
0,3,4,24.130300
0,3,8,13.203914
0,3,8,12.281890
0,3,8,12.040773
0,3,16,7.402449
0,3,16,7.160586
0,3,16,7.423625
0,3,32,6.121324
0,3,32,5.977320
0,3,32,5.980514
1,1,1,84.349614
1,1,1,88.079937
1,1,1,81.574554
1,1,2,44.841449
1,1,2,46.536518
1,1,2,45.595868
1,1,4,23.226038
1,1,4,23.112025
1,1,4,24.344461
1,1,8,12.153460
1,1,8,13.498380
1,1,8,12.444986
1,1,16,7.353436
1,1,16,7.139446
1,1,16,7.251926
1,1,32,6.026255
1,1,32,6.175771
1,1,32,5.771169
1,2,1,85.686563
1,2,1,84.112471
1,2,1,86.670978
1,2,2,44.531224
1,2,2,45.070596
1,2,2,44.680060
1,2,4,24.143681
1,2,4,24.135625
1,2,4,23.167036
1,2,8,12.090495
1,2,8,12.715976
1,2,8,12.130168
1,2,16,6.935167
1,2,16,7.193707
1,2,16,6.905667
1,2,32,6.006843
1,2,32,6.032446
1,2,32,6.358608
1,3,1,84.750024
1,3,1,84.226217
1,3,1,84.423212
1,3,2,44.778278
1,3,2,45.066183
1,3,2,44.790160
1,3,4,24.026035
1,3,4,23.232266
1,3,4,24.003537
1,3,8,13.412809
1,3,8,12.888021
1,3,8,12.408600
1,3,16,7.067553
1,3,16,7.493126
1,3,16,7.399784
1,3,32,6.032079
1,3,32,6.007512
1,3,32,6.105594

2,1,1,35.040975
2,1,1,34.274780
2,1,1,35.260347
2,1,2,19.561440
2,1,2,18.537180
2,1,2,19.405437
2,1,4,9.870133
2,1,4,11.464512
2,1,4,11.408648
2,1,8,6.622952
2,1,8,6.821891
2,1,8,5.920433
2,1,16,4.048298
2,1,16,3.946720
2,1,16,4.312016
2,1,32,3.694748
2,1,32,3.779318
2,1,32,4.047437
2,2,1,35.463792
2,2,1,34.226098
2,2,1,34.181282
2,2,2,18.721133
2,2,2,18.396777
2,2,2,18.657432
2,2,4,13.014208
2,2,4,12.980345
2,2,4,10.267938
2,2,8,6.202990
2,2,8,6.778606
2,2,8,5.844891
2,2,16,4.500578
2,2,16,4.108913
2,2,16,5.073498
2,2,32,3.986931
2,2,32,3.817341
2,2,32,3.709165
2,3,1,34.029809
2,3,1,34.221137
2,3,1,34.282911
2,3,2,18.349082
2,3,2,19.113571
2,3,2,19.261023
2,3,4,11.501103
2,3,4,11.414398
2,3,4,13.057027
2,3,8,5.925184
2,3,8,5.900090
2,3,8,5.891533
2,3,16,4.185078
2,3,16,4.103334
2,3,16,4.152894
2,3,32,3.744231
2,3,32,4.098874
2,3,32,3.720776
3,1,1,39.464316
3,1,1,38.381976
3,1,1,38.501118
3,1,2,20.621990
3,1,2,20.748152
3,1,2,20.697225
3,1,4,12.427810
3,1,4,11.987274
3,1,4,11.895239
3,1,8,6.588941
3,1,8,8.040579
3,1,8,7.088833
3,1,16,4.570168
3,1,16,4.745102
3,1,16,4.895040
3,1,32,4.215041
3,1,32,4.232251
3,1,32,4.294865
3,2,1,39.226797
3,2,1,38.469812
3,2,1,38.493650
3,2,2,20.632197
3,2,2,22.830577
3,2,2,20.622616
3,2,4,12.214929
3,2,4,14.231341
3,2,4,13.970406
3,2,8,7.507894
3,2,8,8.349460
3,2,8,9.073694
3,2,16,4.615074
3,2,16,5.305586
3,2,16,4.636046
3,2,32,4.154195
3,2,32,4.177973
3,2,32,4.250933
3,3,1,36.284486
3,3,1,39.152686
3,3,1,39.073864
3,3,2,20.636081
3,3,2,20.607779
3,3,2,20.638262
3,3,4,11.557421
3,3,4,14.062914
3,3,4,12.302216
3,3,8,6.439111
3,3,8,6.993534
3,3,8,7.403313
3,3,16,5.426678
3,3,16,5.234858
3,3,16,4.546194
3,3,32,4.287331
3,3,32,4.245530
3,3,32,4.300151
